CMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.9425, 0.9695, "8.04175+(-7.49835*x)"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.9695, 0.9965, "1.23216+(-0.474533*x)"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.9965, 1.1, "0.670818"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -1.1, -0.93375, "1.17109"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -0.93375, -0.78625, "3.58046+(2.58158*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -0.78625, -0.64, "-0.362848+(-2.43376*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -0.64, -0.49, "0.425879+(-1.20137*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -0.49, -0.34, "1.81381+(1.63114*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -0.34, -0.19, "0.590964+(-1.96547*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -0.19, -0.04, "1.07157+(0.564032*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, -0.04, 0.11, "1.01087+(-0.953385*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.11, 0.254, "0.833083+(0.662879*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.254, 0.392, "1.40463+(-1.58729*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.392, 0.53, "-0.389002+(2.98829*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.53, 0.668, "1.32026+(-0.236727*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.668, 0.806, "1.72943+(-0.849262*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.806, 0.8885, "5.87609+(-5.99401*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8885, 0.9155, "-6.92875+(8.41775*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9155, 0.9425, "-1.91246+(2.93846*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9425, 0.9695, "6.43859+(-5.92207*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9695, 0.9965, "-0.858492+(1.60457*x)"
3, iterativefit, up_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9965, 1.1, "0.741213"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -1.1, -0.93375, "0.817174"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -0.93375, -0.78625, "3.3424+(2.70546*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -0.78625, -0.64, "-0.252604+(-1.86689*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -0.64, -0.49, "0.343015+(-0.93623*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -0.49, -0.34, "1.82934+(2.09709*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -0.34, -0.19, "0.595553+(-1.5317*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -0.19, -0.04, "1.07609+(0.997434*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, -0.04, 0.11, "1.01289+(-0.582466*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.11, 0.254, "0.836897+(1.01749*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.254, 0.392, "1.39748+(-1.18954*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.392, 0.53, "-0.484294+(3.61091*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.53, 0.668, "1.65724+(-0.42972*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.668, 0.806, "1.888+(-0.775164*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.806, 0.8885, "4.77613+(-4.35845*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.8885, 0.9155, "-7.04318+(8.94409*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9155, 0.9425, "-0.333494+(1.6151*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9425, 0.9695, "10.4448+(-9.82075*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9695, 0.9965, "3.4276+(-2.58279*x)"
3, iterativefit, down_hfstats1, 0, 0.0, 2.4, 20, 30, 0.9965, 1.1, "0.854884"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -1.1, -0.93375, "0.877259"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -0.93375, -0.78625, "3.83008+(3.16524*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -0.78625, -0.64, "-0.0914332+(-1.82238*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -0.64, -0.49, "0.438695+(-0.994051*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -0.49, -0.34, "1.7501+(1.68228*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -0.34, -0.19, "0.592174+(-1.72338*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -0.19, -0.04, "1.05043+(0.688503*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, -0.04, 0.11, "0.995941+(-0.673745*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.11, 0.254, "0.829867+(0.836018*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.254, 0.392, "1.34052+(-1.17443*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.392, 0.53, "-0.421499+(3.32052*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.53, 0.668, "1.53504+(-0.371057*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.668, 0.806, "1.75823+(-0.705178*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.806, 0.8885, "4.52384+(-4.13646*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8885, 0.9155, "-6.71674+(8.51473*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9155, 0.9425, "-0.455284+(1.67535*x)"
